Relevance_Score,Grammar_Score,Final_Score
0,0,0
0,0.25,0
0,0.5,0
0,0.75,0
0,1,0
1,0,0
1,0.25,0
1,0.5,0
1,0.75,1
1,1,1
2,0,0
2,0.25,0
2,0.5,1
2,0.75,2
2,1,2
3,0,0
3,0.25,1
3,0.5,2
3,0.75,3
3,1,3
4,0,0
4,0.25,1
4,0.5,2
4,0.75,3
4,1,4
5,0,0
5,0.25,2
5,0.5,3
5,0.75,4
5,1,5
6,0,0
6,0.25,2
6,0.5,4
6,0.75,5
6,1,6
7,0,0
7,0.25,3
7,0.5,4
7,0.75,5
7,1,7
8,0,0
8,0.25,3
8,0.5,5
8,0.75,6
8,1,8
9,0,0
9,0.25,3
9,0.5,5
9,0.75,7
9,1,9
10,0,0
10,0.25,4
10,0.5,6
10,0.75,8
10,1,10
11,0,0
11,0.25,5
11,0.5,7
11,0.75,9
11,1,11
12,0,0
12,0.25,6
12,0.5,8
12,0.75,10
12,1,12
